period,scenario,hdd_assumption,week_of_year,forecast_weekly_change_bcf,forecast_inventory_bcf,assumed_hdd_anomaly,weather_beta,as_of_date
2027-02-12,Mild,Mild weather,6,-118.78726844899828,3133.6725507038136,-30.94047619047619,-1.414229728248382,2026-05-29
2027-02-19,Mild,Mild weather,7,-107.35921929979676,3026.313331404017,-28.04583333333333,-1.414229728248382,2026-05-29
2027-02-26,Mild,Mild weather,8,-105.20600497415052,2921.1073264298666,-12.690229885057477,-1.414229728248382,2026-05-29
2027-03-05,Mild,Mild weather,9,-79.5503558106929,2841.5569706191736,-20.101851851851865,-1.414229728248382,2026-05-29
2027-03-12,Mild,Mild weather,10,-35.86937180642378,2805.68759881275,-32.849999999999994,-1.414229728248382,2026-05-29
2027-03-19,Mild,Mild weather,11,-0.3756434413024436,2805.3119553714478,-26.03589743589744,-1.414229728248382,2026-05-29
2027-03-26,Mild,Mild weather,12,-3.94155603608678,2801.3703993353606,-18.19583333333334,-1.414229728248382,2026-05-29
2027-04-02,Mild,Mild weather,13,17.364154096901302,2818.734553432262,-19.795454545454547,-1.414229728248382,2026-05-29
2027-04-09,Mild,Mild weather,14,35.65578051614503,2854.3903339484077,-11.823913043478257,-1.414229728248382,2026-05-29
2027-04-16,Mild,Mild weather,15,68.36330117841291,2922.75363512682,-24.098930481283425,-1.414229728248382,2026-05-29
2027-04-23,Mild,Mild weather,16,88.00057198624006,3010.75420711306,-25.53333333333333,-1.414229728248382,2026-05-29
2027-04-30,Mild,Mild weather,17,86.50784052277996,3097.26204763584,-13.194989106753816,-1.414229728248382,2026-05-29
2027-05-07,Mild,Mild weather,18,90.04936225603224,3187.311409891872,-12.194444444444446,-1.414229728248382,2026-05-29
2027-05-14,Mild,Mild weather,19,95.00551115596612,3282.316921047838,-6.291443850267381,-1.414229728248382,2026-05-29
2027-05-21,Mild,Mild weather,20,107.99032751338176,3390.30724856122,-13.105747126436782,-1.414229728248382,2026-05-29
2027-05-28,Mild,Mild weather,21,103.59717509876248,3493.904423659982,-9.23076923076923,-1.414229728248382,2026-05-29
2026-06-05,Severe,Severe weather,23,81.36555888709682,2659.365558887097,0.3530701754385963,-1.414229728248382,2026-05-29
2026-06-12,Severe,Severe weather,24,81.86378094076576,2741.2293398278625,-0.7384615384615381,-1.414229728248382,2026-05-29
2026-06-19,Severe,Severe weather,25,74.30011149945277,2815.529451327315,1.3957142857142857,-1.414229728248382,2026-05-29
2026-06-26,Severe,Severe weather,26,62.73010468111305,2878.2595560084283,1.0916666666666668,-1.414229728248382,2026-05-29
2026-07-03,Severe,Severe weather,27,69.64816362716402,2947.9077196355925,0.0568181818181817,-1.414229728248382,2026-05-29
2026-07-10,Severe,Severe weather,28,54.72053716809752,3002.62825680369,-0.3479064039408867,-1.414229728248382,2026-05-29
2026-07-17,Severe,Severe weather,29,35.58298767471535,3038.211244478405,-0.1863636363636363,-1.414229728248382,2026-05-29
2026-07-24,Severe,Severe weather,30,37.77903147091208,3075.990275949317,-0.1,-1.414229728248382,2026-05-29
2026-07-31,Severe,Severe weather,31,38.58901422185277,3114.57929017117,-0.190625,-1.414229728248382,2026-05-29
2026-08-07,Severe,Severe weather,32,41.15840988487289,3155.737700056043,-0.4325396825396825,-1.414229728248382,2026-05-29
2026-08-14,Severe,Severe weather,33,45.45411522545289,3201.191815281496,-0.0952380952380952,-1.414229728248382,2026-05-29
2026-08-21,Severe,Severe weather,34,50.61311967162406,3251.80493495312,0.0173160173160173,-1.414229728248382,2026-05-29
2026-08-28,Severe,Severe weather,35,50.314214055387126,3302.1191490085075,1.8357142857142852,-1.414229728248382,2026-05-29
2026-09-04,Severe,Severe weather,36,67.62738195579132,3369.746530964299,1.4214285714285717,-1.414229728248382,2026-05-29
2026-09-11,Severe,Severe weather,37,66.92821351748083,3436.67474448178,4.872767857142857,-1.414229728248382,2026-05-29
2026-09-18,Severe,Severe weather,38,66.21635195978591,3502.8910964415654,4.31547619047619,-1.414229728248382,2026-05-29
2026-09-25,Severe,Severe weather,39,81.7714030806789,3584.662499522244,-2.151620370370371,-1.414229728248382,2026-05-29
2026-10-02,Severe,Severe weather,40,86.54967200042036,3671.212171522664,-3.248327759197325,-1.414229728248382,2026-05-29
2026-10-09,Severe,Severe weather,41,71.38057482425668,3742.592746346921,1.6602272727272744,-1.414229728248382,2026-05-29
2026-10-16,Severe,Severe weather,42,49.642507588251554,3792.2352539351728,11.245833333333334,-1.414229728248382,2026-05-29
2026-10-23,Severe,Severe weather,43,47.48390950568583,3839.719163440858,4.544117647058823,-1.414229728248382,2026-05-29
2026-10-30,Severe,Severe weather,44,5.951588722951307,3845.67075216381,17.551875,-1.414229728248382,2026-05-29
2026-11-06,Severe,Severe weather,45,10.93919998682856,3856.6099521506394,8.014802631578949,-1.414229728248382,2026-05-29
2026-11-13,Severe,Severe weather,46,-35.75790125360078,3820.8520508970378,9.086257309941525,-1.414229728248382,2026-05-29
2026-11-20,Severe,Severe weather,47,-50.39961369113113,3770.452437205907,10.761363636363626,-1.414229728248382,2026-05-29
2026-11-27,Severe,Severe weather,48,-67.50537368219975,3702.947063523707,12.989583333333336,-1.414229728248382,2026-05-29
2026-12-04,Severe,Severe weather,49,-138.41967113241938,3564.527392391288,23.92115384615384,-1.414229728248382,2026-05-29
2026-12-11,Severe,Severe weather,50,-146.913969884225,3417.6134225070628,12.153571428571432,-1.414229728248382,2026-05-29
2026-12-18,Severe,Severe weather,51,-148.81704909121217,3268.7963734158507,13.917067307692308,-1.414229728248382,2026-05-29
2026-12-25,Severe,Severe weather,52,-92.51203103603494,3176.284342379816,-0.1764705882352899,-1.414229728248382,2026-05-29
2027-01-01,Severe,Severe weather,53,-10.88158175409851,3165.4027606257173,5.450000000000003,-1.414229728248382,2026-05-29
2027-01-08,Severe,Severe weather,1,-148.06654953161097,3017.336211094106,15.187675070028009,-1.414229728248382,2026-05-29
2027-01-15,Severe,Severe weather,2,-181.55491544616305,2835.781295647943,16.793478260869563,-1.414229728248382,2026-05-29
2027-01-22,Severe,Severe weather,3,-204.2007048874239,2631.580590760519,22.10757575757576,-1.414229728248382,2026-05-29
2027-01-29,Severe,Severe weather,4,-209.7055393558565,2421.8750514046624,17.85303030303031,-1.414229728248382,2026-05-29
2027-02-05,Severe,Severe weather,5,-217.5561945484355,2204.318856856227,29.06100795755968,-1.414229728248382,2026-05-29
2027-02-12,Severe,Severe weather,6,-205.0241351459917,1999.294721710235,30.037499999999994,-1.414229728248382,2026-05-29
2027-02-19,Severe,Severe weather,7,-171.1211976636715,1828.173524046564,17.04017857142857,-1.414229728248382,2026-05-29
2027-02-26,Severe,Severe weather,8,-167.5044256105214,1660.6690984360423,31.36090225563909,-1.414229728248382,2026-05-29
2027-03-05,Severe,Severe weather,9,-116.8687907421002,1543.8003076939422,6.285964912280704,-1.414229728248382,2026-05-29
2027-03-12,Severe,Severe weather,10,-93.97028869842056,1449.8300189955216,8.233082706766922,-1.414229728248382,2026-05-29
2027-03-19,Severe,Severe weather,11,-45.156663706053976,1404.6733552894675,5.628703703703707,-1.414229728248382,2026-05-29
2027-03-26,Severe,Severe weather,12,-50.42268024313272,1354.2506750463351,14.670909090909092,-1.414229728248382,2026-05-29
2027-04-02,Severe,Severe weather,13,-32.92966769655879,1321.3210073497764,15.767241379310342,-1.414229728248382,2026-05-29
2027-04-09,Severe,Severe weather,14,-0.3573279708629755,1320.9636793789134,13.64090909090909,-1.414229728248382,2026-05-29
2027-04-16,Severe,Severe weather,15,34.855425995913755,1355.8191053748271,-0.4055555555555585,-1.414229728248382,2026-05-29
2027-04-23,Severe,Severe weather,16,20.78256972395833,1376.6016750987856,21.996428571428567,-1.414229728248382,2026-05-29
2027-04-30,Severe,Severe weather,17,61.382044477816834,1437.9837195766024,4.571428571428569,-1.414229728248382,2026-05-29
2027-05-07,Severe,Severe weather,18,54.397416490072885,1492.3811360666753,13.015,-1.414229728248382,2026-05-29
2027-05-14,Severe,Severe weather,19,77.39866615284959,1569.7798022195248,6.158333333333331,-1.414229728248382,2026-05-29
